instruction,answer,text,entity1,entity2,label
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Particular caution is necessary when using <e1_current>ROMAZICON</e1_current> in cases of mixed drug overdosage since the toxic effects (such as convulsions and cardiac dysrhythmias) of other drugs taken in overdose (especially [其他药物]) may emerge with the reversal of the <e2_current>benzodiazepine</e2_current> effect by flumazenil.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为ROMAZICON</e1_current>，<e2_current>为benzodiazepine</e2_current>；文本中与二者相关的描述为""Particular caution is necessary when using <e1_current>ROMAZICON</e1_current> in cases of mixed drug...""，符合false类型的定义。",Particular caution is necessary when using <e1_current>ROMAZICON</e1_current> in cases of mixed drug overdosage since the toxic effects (such as convulsions and cardiac dysrhythmias) of other drugs taken in overdose (especially [其他药物]) may emerge with the reversal of the <e2_current>benzodiazepine</e2_current> effect by flumazenil.,ROMAZICON,benzodiazepine,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Discontinuation of <e2_current>cimetidine</e2_current> in well-controlled patients receiving <e1_current>tricyclic antidepressants</e1_current> and <e2_current>cimetidine</e2_current> may decrease the plasma levels and efficacy of the antidepressants.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为tricyclic antidepressants</e1_current>，<e2_current>为cimetidine</e2_current>；文本中与二者相关的描述为""Discontinuation of <e2_current>cimetidine</e2_current> in well-controlled patients receiving <e1_cur...""，符合mechanism类型的定义。",Discontinuation of <e2_current>cimetidine</e2_current> in well-controlled patients receiving <e1_current>tricyclic antidepressants</e1_current> and <e2_current>cimetidine</e2_current> may decrease the plasma levels and efficacy of the antidepressants.,tricyclic antidepressants,cimetidine,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物], <e1_current>tacrolimus</e1_current> and digoxin concentrations should be monitored at the initiation of <e2_current>Itraconazole</e2_current> therapy and frequently thereafter, and the dose of these three drug products adjusted appropriately.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为tacrolimus</e1_current>，<e2_current>为Itraconazole</e2_current>；文本中与二者相关的描述为""[其他药物], <e1_current>tacrolimus</e1_current> and digoxin concentrations should be monitored at the in...""，符合advise类型的定义。","[其他药物], <e1_current>tacrolimus</e1_current> and digoxin concentrations should be monitored at the initiation of <e2_current>Itraconazole</e2_current> therapy and frequently thereafter, and the dose of these three drug products adjusted appropriately.",tacrolimus,Itraconazole,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：It is recommended that in patients taking <e1>anticoagulants</e1>, prothrombin time be determined before starting <e2>lovastatin</e2> and frequently enough during early therapy to insure that no significant alteration of prothrombin time occurs.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为anticoagulants</e1_current>，<e2_current>为lovastatin</e2_current>；文本中与二者相关的描述为""It is recommended that in patients taking <e1>anticoagulants</e1>, prothrombin time be determined be...""，符合advise类型的定义。","It is recommended that in patients taking <e1>anticoagulants</e1>, prothrombin time be determined before starting <e2>lovastatin</e2> and frequently enough during early therapy to insure that no significant alteration of prothrombin time occurs.",anticoagulants,lovastatin,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Products containing <e1_current>calcium</e1_current> and other multivalent cations (such as [其他药物], magnesium, iron) are likely to interfere with absorption of <e2_current>Ibandronate</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为calcium</e1_current>，<e2_current>为Ibandronate</e2_current>；文本中与二者相关的描述为""Products containing <e1_current>calcium</e1_current> and other multivalent cations (such as [其他药物], ...""，符合mechanism类型的定义。","Products containing <e1_current>calcium</e1_current> and other multivalent cations (such as [其他药物], magnesium, iron) are likely to interfere with absorption of <e2_current>Ibandronate</e2_current>.",calcium,Ibandronate,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物] - Combined administration of racemic <e1_current>citalopram</e1_current> (40 mg) and <e2_current>ketoconazole</e2_current> (200 mg) decreased the Cmax and AUC of <e2_current>ketoconazole</e2_current> by 21% and 10%, respectively, and did not significantly affect the pharmacokinetics of <e1_current>citalopram</e1_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为citalopram</e1_current>，<e2_current>为ketoconazole</e2_current>；文本中与二者相关的描述为""[其他药物] - Combined administration of racemic <e1_current>citalopram</e1_current> (40 mg) and <e2_curr...""，符合mechanism类型的定义。","[其他药物] - Combined administration of racemic <e1_current>citalopram</e1_current> (40 mg) and <e2_current>ketoconazole</e2_current> (200 mg) decreased the Cmax and AUC of <e2_current>ketoconazole</e2_current> by 21% and 10%, respectively, and did not significantly affect the pharmacokinetics of <e1_current>citalopram</e1_current>.",citalopram,ketoconazole,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Thus, when <e1>ibuprofen</e1> and lithium are administered concurrently, subjects should be observed carefully for signs of <e2>lithium</e2> toxicity.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为ibuprofen</e1_current>，<e2_current>为lithium</e2_current>；文本中与二者相关的描述为""Thus, when <e1>ibuprofen</e1> and lithium are administered concurrently, subjects should be observed...""，符合false类型的定义。","Thus, when <e1>ibuprofen</e1> and lithium are administered concurrently, subjects should be observed carefully for signs of <e2>lithium</e2> toxicity.",ibuprofen,lithium,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>Analgesic</e1_current>/<e2_current>anti-inflammatory</e2_current> (e.g., acetaminophen, aspirin, codeine and codeine combinations, ibuprofen, indomethacin).
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Analgesic</e1_current>，<e2_current>为anti-inflammatory</e2_current>；文本中与二者相关的描述为""<e1_current>Analgesic</e1_current>/<e2_current>anti-inflammatory</e2_current> (e.g., acetaminophen, ...""，符合false类型的定义。","<e1_current>Analgesic</e1_current>/<e2_current>anti-inflammatory</e2_current> (e.g., acetaminophen, aspirin, codeine and codeine combinations, ibuprofen, indomethacin).",Analgesic,anti-inflammatory,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：The in vitro interaction between <e1>nevirapine</e1> and the antithrombotic agent <e2>warfarin</e2> is complex.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为nevirapine</e1_current>，<e2_current>为warfarin</e2_current>；文本中与二者相关的描述为""The in vitro interaction between <e1>nevirapine</e1> and the antithrombotic agent <e2>warfarin</e2> ...""，符合int类型的定义。",The in vitro interaction between <e1>nevirapine</e1> and the antithrombotic agent <e2>warfarin</e2> is complex.,nevirapine,warfarin,int
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Therefore, <e1>linezolid</e1> has the potential for interaction with adrenergic and <e2>serotonergic agents</e2>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为linezolid</e1_current>，<e2_current>为serotonergic agents</e2_current>；文本中与二者相关的描述为""Therefore, <e1>linezolid</e1> has the potential for interaction with adrenergic and <e2>serotonergic...""，符合int类型的定义。","Therefore, <e1>linezolid</e1> has the potential for interaction with adrenergic and <e2>serotonergic agents</e2>.",linezolid,serotonergic agents,int
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：- <e1_current>Perhexiline hydrogen maleate</e1_current> or [其他药物] (with hepatotoxic potential) must not be administered together with Bezalip or <e2_current>Bezalip retard</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为Perhexiline hydrogen maleate</e1_current>，<e2_current>为Bezalip retard</e2_current>；文本中与二者相关的描述为""- <e1_current>Perhexiline hydrogen maleate</e1_current> or [其他药物] (with hepatotoxic potential) must ...""，符合advise类型的定义。",- <e1_current>Perhexiline hydrogen maleate</e1_current> or [其他药物] (with hepatotoxic potential) must not be administered together with Bezalip or <e2_current>Bezalip retard</e2_current>.,Perhexiline hydrogen maleate,Bezalip retard,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>Amphotericin B</e1_current> or [其他药物] (benzothiadiazines and related drugs, <e2_current>ethacrynic acid</e2_current> and furosemide) enhanced hypokalemia.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Amphotericin B</e1_current>，<e2_current>为ethacrynic acid</e2_current>；文本中与二者相关的描述为""<e1_current>Amphotericin B</e1_current> or [其他药物] (benzothiadiazines and related drugs, <e2_current>...""，符合false类型的定义。","<e1_current>Amphotericin B</e1_current> or [其他药物] (benzothiadiazines and related drugs, <e2_current>ethacrynic acid</e2_current> and furosemide) enhanced hypokalemia.",Amphotericin B,ethacrynic acid,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：When <e1>warfarin</e1> is co-administered with <e2>nevirapine</e2>, anticoagulation levels should be monitored frequently.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为warfarin</e1_current>，<e2_current>为nevirapine</e2_current>；文本中与二者相关的描述为""When <e1>warfarin</e1> is co-administered with <e2>nevirapine</e2>, anticoagulation levels should be...""，符合advise类型的定义。","When <e1>warfarin</e1> is co-administered with <e2>nevirapine</e2>, anticoagulation levels should be monitored frequently.",warfarin,nevirapine,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物], <e1_current>tricyclic antidepressants</e1_current>, and MAOIs may increase anticholinergic effect of <e2_current>clidinium</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：effect
判断依据：<e1_current>为tricyclic antidepressants</e1_current>，<e2_current>为clidinium</e2_current>；文本中与二者相关的描述为""[其他药物], <e1_current>tricyclic antidepressants</e1_current>, and MAOIs may increase anticholinergic e...""，符合effect类型的定义。","[其他药物], <e1_current>tricyclic antidepressants</e1_current>, and MAOIs may increase anticholinergic effect of <e2_current>clidinium</e2_current>.",tricyclic antidepressants,clidinium,effect
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Patients in a clinical study who were on established therapy with <e1_current>sulfasalazine</e1_current>, to which <e2_current>ENBREL</e2_current> was added, were noted to develop a mild decrease in mean neutrophil counts in comparison to groups treated with either <e2_current>ENBREL</e2_current> CI or <e1_current>sulfasalazine</e1_current> alone.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为sulfasalazine</e1_current>，<e2_current>为ENBREL</e2_current>；文本中与二者相关的描述为""Patients in a clinical study who were on established therapy with <e1_current>sulfasalazine</e1_curr...""，符合false类型的定义。","Patients in a clinical study who were on established therapy with <e1_current>sulfasalazine</e1_current>, to which <e2_current>ENBREL</e2_current> was added, were noted to develop a mild decrease in mean neutrophil counts in comparison to groups treated with either <e2_current>ENBREL</e2_current> CI or <e1_current>sulfasalazine</e1_current> alone.",sulfasalazine,ENBREL,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：The effect of a <e1>pulmonary surfactant</e1> extract from bovine lung, <e2>Survanta</e2>, on the dissolution rate of aerosol particles of budesonide was determined. 
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为pulmonary surfactant</e1_current>，<e2_current>为Survanta</e2_current>；文本中与二者相关的描述为""The effect of a <e1>pulmonary surfactant</e1> extract from bovine lung, <e2>Survanta</e2>, on the di...""，符合false类型的定义。","The effect of a <e1>pulmonary surfactant</e1> extract from bovine lung, <e2>Survanta</e2>, on the dissolution rate of aerosol particles of budesonide was determined. ",pulmonary surfactant,Survanta,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：It may also interact with <e1>amantadine</e1> or other anticholinergic drugs or <e2>MAOIs</e2>, which may intensify the anticholinergic action.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为amantadine</e1_current>，<e2_current>为MAOIs</e2_current>；文本中与二者相关的描述为""It may also interact with <e1>amantadine</e1> or other anticholinergic drugs or <e2>MAOIs</e2>, whic...""，符合false类型的定义。","It may also interact with <e1>amantadine</e1> or other anticholinergic drugs or <e2>MAOIs</e2>, which may intensify the anticholinergic action.",amantadine,MAOIs,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>Lithium</e1_current> - Coadministration of racemic <e2_current>citalopram</e2_current> (40 mg/day for 10 days) and lithium (30 mmol/day for 5 days) had no significant effect on the pharmacokinetics of <e2_current>citalopram</e2_current> or lithium.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Lithium</e1_current>，<e2_current>为citalopram</e2_current>；文本中与二者相关的描述为""<e1_current>Lithium</e1_current> - Coadministration of racemic <e2_current>citalopram</e2_current> (...""，符合false类型的定义。",<e1_current>Lithium</e1_current> - Coadministration of racemic <e2_current>citalopram</e2_current> (40 mg/day for 10 days) and lithium (30 mmol/day for 5 days) had no significant effect on the pharmacokinetics of <e2_current>citalopram</e2_current> or lithium.,Lithium,citalopram,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Based on anecdotal reports, there may be an interaction between <e1>buprenorphine</e1> and <e2>barbiturates</e2>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为buprenorphine</e1_current>，<e2_current>为barbiturates</e2_current>；文本中与二者相关的描述为""Based on anecdotal reports, there may be an interaction between <e1>buprenorphine</e1> and <e2>barbi...""，符合int类型的定义。","Based on anecdotal reports, there may be an interaction between <e1>buprenorphine</e1> and <e2>barbiturates</e2>.",buprenorphine,barbiturates,int
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1_current>ketoconazole</e1_current>), [其他药物] (e.g. <e2_current>erythromycin</e2_current>), and HIV protease inhibitors (e.g. ritonavir, indinavir and saquinavir) should have their dose of SUBUTEX or SUBOXONE adjusted.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为ketoconazole</e1_current>，<e2_current>为erythromycin</e2_current>；文本中与二者相关的描述为""<e1_current>ketoconazole</e1_current>), [其他药物] (e.g. <e2_current>erythromycin</e2_current>), and HIV...""，符合false类型的定义。","<e1_current>ketoconazole</e1_current>), [其他药物] (e.g. <e2_current>erythromycin</e2_current>), and HIV protease inhibitors (e.g. ritonavir, indinavir and saquinavir) should have their dose of SUBUTEX or SUBOXONE adjusted.",ketoconazole,erythromycin,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：conversely, <e1_current>diethylpropion</e1_current> may interfere with [其他药物] (i.e., guanethidine, <e2_current>a-methyldopa</e2_current>).
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为diethylpropion</e1_current>，<e2_current>为a-methyldopa</e2_current>；文本中与二者相关的描述为""conversely, <e1_current>diethylpropion</e1_current> may interfere with [其他药物] (i.e., guanethidine, <...""，符合int类型的定义。","conversely, <e1_current>diethylpropion</e1_current> may interfere with [其他药物] (i.e., guanethidine, <e2_current>a-methyldopa</e2_current>).",diethylpropion,a-methyldopa,int
